time_mandante,time_visitante,proporcao_sucesso_mandante,proporcao_sucesso_visitante,gols_mandante,gols_visitante
RSC Anderlecht,FC Internazionale,1.74,1.92,1,3
RSC Anderlecht,Werder Bremen,1.74,1.72,1,2
RSC Anderlecht,Valência CF,1.74,1.41,1,2
Manchester United FC,AC Sparta Praga,2.09,1.9,4,1
Manchester United FC,AC Milan,2.09,1.54,0,1
Manchester United FC,Olympique Lyon,2.09,1.71,2,1
Manchester United FC,Fenerbahce,2.09,1.69,6,2
Olympique Lyon,PSV Eindhoven,1.71,1.6,1,1
Olympique Lyon,Manchester United FC,1.71,2.09,2,2
Olympique Lyon,Werder Bremen,1.71,1.72,7,2
Olympique Lyon,Fenerbahce,1.71,1.69,4,2
Olympique Lyon,AC Sparta Praga,1.71,1.9,5,0
FC Paris Saint-Germain,Futebol Clube do Porto,1.96,2.02,2,0
FC Paris Saint-Germain,CSKA Moscovo,1.96,1.7,1,3
FC Paris Saint-Germain,Chelsea FC,1.96,1.68,0,3
FC Arsenal,Panathinaikos Atenas,1.94,1.84,1,1
FC Arsenal,Rosenborg BK,1.94,1.45,5,1
FC Arsenal,FC Bayern Munique,1.94,1.93,1,0
FC Arsenal,PSV Eindhoven,1.94,1.6,1,0
Maccabi Tel Aviv,AFC Ajax,2.25,1.48,2,1
Maccabi Tel Aviv,Juventus FC,2.25,1.85,1,1
Maccabi Tel Aviv,FC Bayern Munique,2.25,1.93,0,1
Rosenborg BK,PSV Eindhoven,1.45,1.6,1,2
Rosenborg BK,Panathinaikos Atenas,1.45,1.84,2,2
Rosenborg BK,FC Arsenal,1.45,1.94,1,1
Fenerbahce,AC Sparta Praga,1.69,1.9,1,0
Fenerbahce,Manchester United FC,1.69,2.09,3,0
Fenerbahce,Olympique Lyon,1.69,1.71,1,3
FC Liverpool,Juventus FC,1.87,1.85,2,1
FC Liverpool,Bayer 04 Leverkusen,1.87,1.6,3,1
FC Liverpool,Olympiacos Pireu,1.87,1.53,3,1
FC Liverpool,RC Deportivo de Corunha,1.87,1.59,0,0
FC Liverpool,Chelsea FC,1.87,1.68,1,0
FC Liverpool,AS Mônaco,1.87,1.79,2,0
Valência CF,Werder Bremen,1.41,1.72,0,2
Valência CF,FC Internazionale,1.41,1.92,1,5
Valência CF,RSC Anderlecht,1.41,1.74,2,0
AC Milan,PSV Eindhoven,1.54,1.6,2,0
AC Milan,Celtic FC,1.54,1.77,3,1
AC Milan,FC Internazionale,1.54,1.92,2,0
AC Milan,Manchester United FC,1.54,2.09,1,0
AC Milan,FC Barcelona,1.54,2.14,1,0
AC Milan,Shakhtar Donetsk,1.54,,4,0
AC Milan,FC Liverpool,1.54,1.87,5,6
FC Bayern Munique,Maccabi Tel Aviv,1.93,2.25,5,1
FC Bayern Munique,Chelsea FC,1.93,1.68,3,2
FC Bayern Munique,FC Arsenal,1.93,1.94,3,1
FC Bayern Munique,Juventus FC,1.93,1.85,0,1
FC Bayern Munique,AFC Ajax,1.93,1.48,4,0
RC Deportivo de Corunha,Olympiacos Pireu,1.59,1.53,0,0
RC Deportivo de Corunha,AS Mônaco,1.59,1.79,0,5
RC Deportivo de Corunha,FC Liverpool,1.59,1.87,0,1
Panathinaikos Atenas,FC Arsenal,1.84,1.94,2,2
