time_mandante,time_visitante,proporcao_sucesso_mandante,proporcao_sucesso_visitante,gols_mandante,gols_visitante
FC Copenhagen,Panathinaikos Atenas,1.92,1.84,3,1
FC Copenhagen,Rubin Kazan,1.92,1.35,1,0
MSK Zilina,Chelsea FC,1.36,1.68,1,4
MSK Zilina,Olympique Marselha,1.36,1.59,0,7
MSK Zilina,Spartak Moskovo,1.36,1.48,1,2
FC Twente,Werder Bremen,1.53,1.72,1,1
FC Twente,"Tottenham Hotspur ",1.53,1.81,3,3
FC Twente,FC Internazionale,1.53,1.92,2,2
AS Roma,FC Bayern Munique,2.07,1.93,3,2
AS Roma,CFR Cluj,2.07,1.62,2,1
AS Roma,FC Basel,2.07,1.52,1,3
Schalke 04,Olympique Lyon,2.04,1.71,3,0
Schalke 04,Manchester United FC,2.04,2.09,0,2
Schalke 04,Valência CF,2.04,1.41,3,1
Schalke 04,Sport Lisboa e Benfica,2.04,1.92,2,0
Schalke 04,Hapoel Tel Aviv,2.04,1.05,3,1
Schalke 04,FC Internazionale,2.04,1.92,2,1
AFC Ajax,AJ Auxerre,1.48,1.34,2,1
AFC Ajax,Real Madrid CF,1.48,2.01,0,4
AFC Ajax,AC Milan,1.48,1.54,1,1
FC Internazionale,FC Twente,1.92,1.53,1,0
FC Internazionale,FC Bayern Munique,1.92,1.93,0,1
FC Internazionale,"Tottenham Hotspur ",1.92,1.81,4,3
FC Internazionale,Schalke 04,1.92,2.04,2,5
FC Internazionale,Werder Bremen,1.92,1.72,4,0
Real Madrid CF,Olympique Lyon,2.01,1.71,3,0
Real Madrid CF,"Tottenham Hotspur ",2.01,1.81,4,0
Real Madrid CF,AC Milan,2.01,1.54,2,0
Real Madrid CF,AJ Auxerre,2.01,1.34,4,0
Real Madrid CF,AFC Ajax,2.01,1.48,2,0
Real Madrid CF,FC Barcelona,2.01,2.14,0,2
Olympique Marselha,Spartak Moskovo,1.59,1.48,0,1
Olympique Marselha,Manchester United FC,1.59,2.09,0,0
Olympique Marselha,Chelsea FC,1.59,1.68,1,0
Olympique Marselha,MSK Zilina,1.59,1.36,1,0
Rubin Kazan,Panathinaikos Atenas,1.35,1.84,0,0
Rubin Kazan,FC Copenhagen,1.35,1.92,1,0
Rubin Kazan,FC Barcelona,1.35,2.14,1,1
"Tottenham Hotspur ",Real Madrid CF,1.81,2.01,0,1
"Tottenham Hotspur ",Werder Bremen,1.81,1.72,3,0
"Tottenham Hotspur ",FC Twente,1.81,1.53,4,1
"Tottenham Hotspur ",AC Milan,1.81,1.54,0,0
"Tottenham Hotspur ",FC Internazionale,1.81,1.92,3,1
Hapoel Tel Aviv,Olympique Lyon,1.05,1.71,1,3
Hapoel Tel Aviv,Schalke 04,1.05,2.04,0,0
Hapoel Tel Aviv,Sport Lisboa e Benfica,1.05,1.92,3,0
Rangers FC,Valência CF,1.85,1.41,1,1
Rangers FC,Manchester United FC,1.85,2.09,0,1
CFR Cluj,FC Basel,1.62,1.52,2,1
CFR Cluj,FC Bayern Munique,1.62,1.93,0,4
CFR Cluj,AS Roma,1.62,2.07,1,1
Spartak Moskovo,MSK Zilina,1.48,1.36,3,0
Spartak Moskovo,Olympique Marselha,1.48,1.59,0,3
Spartak Moskovo,Chelsea FC,1.48,1.68,0,2
Chelsea FC,Manchester United FC,1.68,2.09,0,1
Chelsea FC,MSK Zilina,1.68,1.36,2,1
Chelsea FC,FC Copenhagen,1.68,1.92,0,0
Chelsea FC,Olympique Marselha,1.68,1.59,2,0
Chelsea FC,Spartak Moskovo,1.68,1.48,4,1
AJ Auxerre,AC Milan,1.34,1.54,0,2
AJ Auxerre,Real Madrid CF,1.34,2.01,0,1
AJ Auxerre,AFC Ajax,1.34,1.48,2,1
Zenit São Petersburgo,Shakhtar Donetsk,,,1,0
Shakhtar Donetsk,APOEL Nicósia,,,1,1
Shakhtar Donetsk,Zenit São Petersburgo,,,2,2
APOEL Nicósia,Shakhtar Donetsk,,,0,2
Shakhtar Donetsk,Futebol Clube do Porto,,,0,2
Futebol Clube do Porto,Shakhtar Donetsk,,,2,1
FC Barcelona,AC Milan,2.14,1.54,3,1
FC Barcelona,Bayer 04 Leverkusen,2.14,1.6,7,1
FC Barcelona,AC Milan,2.14,1.54,2,2
FC Barcelona,Chelsea FC,2.14,1.68,2,2
FC Barcelona,FC Viktoria Plzen,2.14,1.49,2,0
FC Barcelona,FK BATE Borisov,2.14,1.83,4,0
FC Villarreal,Napoli,1.55,1.73,0,2
FC Villarreal,FC Bayern Munique,1.55,1.93,0,2
FC Villarreal,Manchester City FC,1.55,2.35,0,3
Borussia Dortmund,FC Arsenal,2.01,1.94,1,1
Borussia Dortmund,Olympique Marselha,2.01,1.59,2,3
Borussia Dortmund,Olympiacos Pireu,2.01,1.53,1,0
FC Basel,Otelul Galati,1.52,1.46,2,1
FC Basel,Sport Lisboa e Benfica,1.52,1.92,0,2
FC Basel,FC Bayern Munique,1.52,1.93,1,0
FC Basel,Manchester United FC,1.52,2.09,2,1
Napoli,Manchester City FC,1.73,2.35,2,1
Napoli,FC Villarreal,1.73,1.55,2,0
Napoli,FC Bayern Munique,1.73,1.93,1,1
Napoli,Chelsea FC,1.73,1.68,3,1
Bayer 04 Leverkusen,KRC Genk,1.6,1.75,2,0
Bayer 04 Leverkusen,Valência CF,1.6,1.41,2,1
Bayer 04 Leverkusen,FC Barcelona,1.6,2.14,1,3
Bayer 04 Leverkusen,Chelsea FC,1.6,1.68,2,1
Manchester United FC,Sport Lisboa e Benfica,2.09,1.92,2,2
Manchester United FC,Otelul Galati,2.09,1.46,2,0
Manchester United FC,FC Basel,2.09,1.52,3,3
Olympique Lyon,APOEL Nicósia,1.71,1.61,1,0
Olympique Lyon,GNK Dinamo Zagreb,1.71,1.91,2,0
Olympique Lyon,AFC Ajax,1.71,1.48,0,0
Olympique Lyon,Real Madrid CF,1.71,2.01,0,2
FC Arsenal,Olympiacos Pireu,1.94,1.53,2,1
FC Arsenal,AC Milan,1.94,1.54,3,0
FC Arsenal,Borussia Dortmund,1.94,2.01,2,1
FC Arsenal,Olympique Marselha,1.94,1.59,0,0
Zenit São Petersburgo,Futebol Clube do Porto,1.91,2.02,3,1
Zenit São Petersburgo,Sport Lisboa e Benfica,1.91,1.92,3,2
Zenit São Petersburgo,APOEL Nicósia,1.91,1.61,0,0
Trabzonspor,CSKA Moscovo,1.7,1.7,0,0
Trabzonspor,LOSC Lille,1.7,1.93,1,1
Trabzonspor,FC Internazionale,1.7,1.92,1,1
LOSC Lille,FC Internazionale,1.93,1.92,0,1
LOSC Lille,Trabzonspor,1.93,1.7,0,0
LOSC Lille,CSKA Moscovo,1.93,1.7,2,2
Manchester City FC,Napoli,2.35,1.73,1,1
Manchester City FC,FC Villarreal,2.35,1.55,2,1
Manchester City FC,FC Bayern Munique,2.35,1.93,2,0
Sport Lisboa e Benfica,Zenit São Petersburgo,1.92,1.91,2,0
Sport Lisboa e Benfica,Manchester United FC,1.92,2.09,1,1
Sport Lisboa e Benfica,Otelul Galati,1.92,1.46,1,0
Sport Lisboa e Benfica,FC Basel,1.92,1.52,1,1
Sport Lisboa e Benfica,Chelsea FC,1.92,1.68,0,1
Valência CF,KRC Genk,1.41,1.75,7,0
Valência CF,Bayer 04 Leverkusen,1.41,1.6,3,1
Valência CF,Chelsea FC,1.41,1.68,1,1
AC Milan,FC Arsenal,1.54,1.94,4,0
AC Milan,FK BATE Borisov,1.54,1.83,2,0
AC Milan,FC Viktoria Plzen,1.54,1.49,2,0
AC Milan,FC Barcelona,1.54,2.14,2,3
AC Milan,FC Barcelona,1.54,2.14,0,0
FC Bayern Munique,FC Basel,1.93,1.52,7,0
FC Bayern Munique,Napoli,1.93,1.73,3,2
FC Bayern Munique,FC Villarreal,1.93,1.55,3,1
FC Bayern Munique,Olympique Marselha,1.93,1.59,2,0
FC Bayern Munique,Chelsea FC,1.93,1.68,4,5
FC Bayern Munique,Manchester City FC,1.93,2.35,2,0
FC Bayern Munique,Real Madrid CF,1.93,2.01,2,1
AFC Ajax,GNK Dinamo Zagreb,1.48,1.91,4,0
AFC Ajax,Olympique Lyon,1.48,1.71,0,0
AFC Ajax,Real Madrid CF,1.48,2.01,0,3
FC Internazionale,CSKA Moscovo,1.92,1.7,1,2
FC Internazionale,Olympique Marselha,1.92,1.59,2,1
FC Internazionale,LOSC Lille,1.92,1.93,2,1
FC Internazionale,Trabzonspor,1.92,1.7,0,1
Real Madrid CF,CSKA Moscovo,2.01,1.7,4,1
Real Madrid CF,Olympique Lyon,2.01,1.71,4,0
Real Madrid CF,FC Bayern Munique,2.01,1.93,3,4
Real Madrid CF,AFC Ajax,2.01,1.48,3,0
Real Madrid CF,GNK Dinamo Zagreb,2.01,1.91,6,2
Real Madrid CF,APOEL Nicósia,2.01,1.61,5,2
Olympiacos Pireu,Borussia Dortmund,1.53,2.01,3,1
Olympiacos Pireu,FC Arsenal,1.53,1.94,3,1
Olympiacos Pireu,Olympique Marselha,1.53,1.59,0,1
Olympique Marselha,FC Bayern Munique,1.59,1.93,0,2
Olympique Marselha,Borussia Dortmund,1.59,2.01,3,0
Olympique Marselha,FC Internazionale,1.59,1.92,1,0
Olympique Marselha,FC Arsenal,1.59,1.94,0,1
Olympique Marselha,Olympiacos Pireu,1.59,1.53,0,1
FC Viktoria Plzen,FC Barcelona,1.49,2.14,0,4
FC Viktoria Plzen,AC Milan,1.49,1.54,2,2
FC Viktoria Plzen,FK BATE Borisov,1.49,1.83,1,1
KRC Genk,Bayer 04 Leverkusen,1.75,1.6,1,1
KRC Genk,Chelsea FC,1.75,1.68,1,1
KRC Genk,Valência CF,1.75,1.41,0,0
Otelul Galati,FC Basel,1.46,1.52,2,3
Otelul Galati,Sport Lisboa e Benfica,1.46,1.92,0,1
Otelul Galati,Manchester United FC,1.46,2.09,0,2
GNK Dinamo Zagreb,AFC Ajax,1.91,1.48,0,2
GNK Dinamo Zagreb,Real Madrid CF,1.91,2.01,0,1
GNK Dinamo Zagreb,Olympique Lyon,1.91,1.71,1,7
CSKA Moscovo,Trabzonspor,1.7,1.7,3,0
CSKA Moscovo,FC Internazionale,1.7,1.92,2,3
CSKA Moscovo,Real Madrid CF,1.7,2.01,1,1
CSKA Moscovo,LOSC Lille,1.7,1.93,0,2
FK BATE Borisov,FC Barcelona,1.83,2.14,0,5
FK BATE Borisov,FC Viktoria Plzen,1.83,1.49,0,1
FK BATE Borisov,AC Milan,1.83,1.54,1,1
APOEL Nicósia,Futebol Clube do Porto,1.61,2.02,2,1
APOEL Nicósia,Olympique Lyon,1.61,1.71,5,3
APOEL Nicósia,Real Madrid CF,1.61,2.01,0,3
APOEL Nicósia,Zenit São Petersburgo,1.61,1.91,2,1
Chelsea FC,KRC Genk,1.68,1.75,5,0
Chelsea FC,Valência CF,1.68,1.41,3,0
Chelsea FC,FC Barcelona,1.68,2.14,1,0
Chelsea FC,Napoli,1.68,1.73,4,1
Chelsea FC,Bayer 04 Leverkusen,1.68,1.6,2,0
Chelsea FC,Sport Lisboa e Benfica,1.68,1.92,2,1
Futebol Clube do Porto,Zenit São Petersburgo,2.02,1.91,0,0
Futebol Clube do Porto,APOEL Nicósia,2.02,1.61,1,1
Shakhtar Donetsk,Borussia Dortmund,,,2,2
FC Nordsjaelland,Shakhtar Donetsk,,,2,5
Shakhtar Donetsk,Juventus FC,,,0,1
Borussia Dortmund,Shakhtar Donetsk,,,3,0
Shakhtar Donetsk,FC Nordsjaelland,,,2,0
Chelsea FC,Shakhtar Donetsk,,,3,2
Shakhtar Donetsk,Chelsea FC,,,2,1
Juventus FC,Shakhtar Donetsk,,,1,1
FC Barcelona,Celtic FC,2.14,1.77,2,1
FC Barcelona,FC Bayern Munique,2.14,1.93,0,3
FC Barcelona,Spartak Moskovo,2.14,1.48,3,2
FC Barcelona,FC Paris Saint-Germain,2.14,1.96,1,1
FC Barcelona,AC Milan,2.14,1.54,4,0
FC Barcelona,Sport Lisboa e Benfica,2.14,1.92,0,0
Galatasaray,Real Madrid CF,1.61,2.01,3,2
Galatasaray,CFR Cluj,1.61,1.62,1,1
Galatasaray,Manchester United FC,1.61,2.09,1,0
Galatasaray,Sporting Clube de Braga,1.61,1.94,0,2
Galatasaray,Schalke 04,1.61,2.04,1,1
Sporting Clube de Braga,Manchester United FC,1.94,2.09,1,3
Sporting Clube de Braga,Galatasaray,1.94,1.61,1,2
Sporting Clube de Braga,CFR Cluj,1.94,1.62,0,2
Borussia Dortmund,Real Madrid CF,2.01,2.01,4,1
Borussia Dortmund,Real Madrid CF,2.01,2.01,2,1
Borussia Dortmund,Málaga CF,2.01,1.31,3,2
Borussia Dortmund,Manchester City FC,2.01,2.35,1,0
Borussia Dortmund,AFC Ajax,2.01,1.48,1,0
Borussia Dortmund,FC Bayern Munique,2.01,1.93,1,2
RSC Anderlecht,Málaga CF,1.74,1.31,0,3
RSC Anderlecht,Zenit São Petersburgo,1.74,1.91,1,0
RSC Anderlecht,AC Milan,1.74,1.54,1,3
Manchester United FC,Sporting Clube de Braga,2.09,1.94,3,2
Manchester United FC,Galatasaray,2.09,1.61,1,0
Manchester United FC,Real Madrid CF,2.09,2.01,1,2
Manchester United FC,CFR Cluj,2.09,1.62,0,1
FC Paris Saint-Germain,Valência CF,1.96,1.41,1,1
FC Paris Saint-Germain,Dínamo Kiev,1.96,1.93,4,1
FC Paris Saint-Germain,FC Barcelona,1.96,2.14,2,2
FC Paris Saint-Germain,Futebol Clube do Porto,1.96,2.02,2,1
FC Paris Saint-Germain,GNK Dinamo Zagreb,1.96,1.91,4,0
FC Arsenal,Montpellier HSC,1.94,1.44,2,0
FC Arsenal,Olympiacos Pireu,1.94,1.53,3,1
FC Arsenal,FC Bayern Munique,1.94,1.93,1,3
FC Arsenal,Schalke 04,1.94,2.04,0,2
Zenit São Petersburgo,Málaga CF,1.91,1.31,2,2
Zenit São Petersburgo,RSC Anderlecht,1.91,1.74,1,0
Zenit São Petersburgo,AC Milan,1.91,1.54,2,3
LOSC Lille,Valência CF,1.93,1.41,0,1
LOSC Lille,FC Bayern Munique,1.93,1.93,0,1
LOSC Lille,FK BATE Borisov,1.93,1.83,1,3
Manchester City FC,Real Madrid CF,2.35,2.01,1,1
Manchester City FC,Borussia Dortmund,2.35,2.01,1,1
Manchester City FC,AFC Ajax,2.35,1.48,2,2
Sport Lisboa e Benfica,FC Barcelona,1.92,2.14,0,2
Sport Lisboa e Benfica,Celtic FC,1.92,1.77,2,1
Sport Lisboa e Benfica,Spartak Moskovo,1.92,1.48,2,0
Valência CF,FC Bayern Munique,1.41,1.93,1,1
Valência CF,FK BATE Borisov,1.41,1.83,4,2
Valência CF,LOSC Lille,1.41,1.93,2,0
Valência CF,FC Paris Saint-Germain,1.41,1.96,1,2
AC Milan,Málaga CF,1.54,1.31,1,1
AC Milan,RSC Anderlecht,1.54,1.74,0,0
AC Milan,FC Barcelona,1.54,2.14,2,0
AC Milan,Zenit São Petersburgo,1.54,1.91,0,1
FC Bayern Munique,FK BATE Borisov,1.93,1.83,4,1
FC Bayern Munique,Juventus FC,1.93,1.85,2,0
FC Bayern Munique,FC Arsenal,1.93,1.94,0,2
FC Bayern Munique,Valência CF,1.93,1.41,2,1
FC Bayern Munique,FC Barcelona,1.93,2.14,4,0
FC Bayern Munique,LOSC Lille,1.93,1.93,6,1
Schalke 04,Montpellier HSC,2.04,1.44,2,2
Schalke 04,Galatasaray,2.04,1.61,2,3
Schalke 04,Olympiacos Pireu,2.04,1.53,1,0
Schalke 04,FC Arsenal,2.04,1.94,2,2
AFC Ajax,Borussia Dortmund,1.48,2.01,1,4
AFC Ajax,Manchester City FC,1.48,2.35,3,1
AFC Ajax,Real Madrid CF,1.48,2.01,1,4
Dínamo Kiev,FC Paris Saint-Germain,1.93,1.96,0,2
Dínamo Kiev,Futebol Clube do Porto,1.93,2.02,0,0
Dínamo Kiev,GNK Dinamo Zagreb,1.93,1.91,2,0
Celtic FC,Sport Lisboa e Benfica,1.77,1.92,0,0
Celtic FC,Spartak Moskovo,1.77,1.48,2,1
Celtic FC,Juventus FC,1.77,1.85,0,3
Celtic FC,FC Barcelona,1.77,2.14,2,1
Real Madrid CF,Galatasaray,2.01,1.61,3,0
Real Madrid CF,Manchester City FC,2.01,2.35,3,2
Real Madrid CF,Borussia Dortmund,2.01,2.01,2,0
Real Madrid CF,Manchester United FC,2.01,2.09,1,1
Real Madrid CF,AFC Ajax,2.01,1.48,4,1
Real Madrid CF,Borussia Dortmund,2.01,2.01,2,2
Olympiacos Pireu,Montpellier HSC,1.53,1.44,3,1
Olympiacos Pireu,Schalke 04,1.53,2.04,1,2
Olympiacos Pireu,FC Arsenal,1.53,1.94,2,1
FC Nordsjaelland,Juventus FC,1.76,1.85,1,1
FC Nordsjaelland,Chelsea FC,1.76,1.68,0,4
Málaga CF,Zenit São Petersburgo,1.31,1.91,3,0
Málaga CF,AC Milan,1.31,1.54,1,0
Málaga CF,RSC Anderlecht,1.31,1.74,2,2
Málaga CF,Borussia Dortmund,1.31,2.01,0,0
Málaga CF,Futebol Clube do Porto,1.31,2.02,2,0
GNK Dinamo Zagreb,FC Paris Saint-Germain,1.91,1.96,0,2
GNK Dinamo Zagreb,Futebol Clube do Porto,1.91,2.02,0,2
GNK Dinamo Zagreb,Dínamo Kiev,1.91,1.93,1,1
CFR Cluj,Sporting Clube de Braga,1.62,1.94,3,1
CFR Cluj,Galatasaray,1.62,1.61,1,3
CFR Cluj,Manchester United FC,1.62,2.09,1,2
Spartak Moskovo,Sport Lisboa e Benfica,1.48,1.92,2,1
Spartak Moskovo,Celtic FC,1.48,1.77,2,3
Spartak Moskovo,FC Barcelona,1.48,2.14,0,3
FK BATE Borisov,Valência CF,1.83,1.41,0,3
FK BATE Borisov,LOSC Lille,1.83,1.93,0,2
FK BATE Borisov,FC Bayern Munique,1.83,1.93,3,1
Chelsea FC,Juventus FC,1.68,1.85,2,2
Chelsea FC,FC Nordsjaelland,1.68,1.76,6,1
Montpellier HSC,Schalke 04,1.44,2.04,1,1
Montpellier HSC,FC Arsenal,1.44,1.94,1,2
Montpellier HSC,Olympiacos Pireu,1.44,1.53,1,2
Futebol Clube do Porto,GNK Dinamo Zagreb,2.02,1.91,3,0
Futebol Clube do Porto,FC Paris Saint-Germain,2.02,1.96,1,0
Futebol Clube do Porto,Dínamo Kiev,2.02,1.93,3,2
Futebol Clube do Porto,Málaga CF,2.02,1.31,1,0
Juventus FC,Celtic FC,1.85,1.77,2,0
Juventus FC,Chelsea FC,1.85,1.68,3,0
Juventus FC,FC Bayern Munique,1.85,1.93,0,2
Juventus FC,FC Nordsjaelland,1.85,1.76,4,0
FC Barcelona,AC Milan,2.14,1.54,3,1
FC Barcelona,Atlético de Madrid,2.14,1.91,1,1
FC Barcelona,Manchester City FC,2.14,2.35,2,1
FC Barcelona,AFC Ajax,2.14,1.48,4,0
FC Barcelona,Celtic FC,2.14,1.77,6,1
Galatasaray,Juventus FC,1.61,1.85,1,0
Galatasaray,Chelsea FC,1.61,1.68,1,1
Galatasaray,FC Copenhagen,1.61,1.92,3,1
Galatasaray,Real Madrid CF,1.61,2.01,1,6
Borussia Dortmund,Zenit São Petersburgo,2.01,1.91,1,2
Borussia Dortmund,Olympique Marselha,2.01,1.59,3,0
Borussia Dortmund,Napoli,2.01,1.73,3,1
Borussia Dortmund,Real Madrid CF,2.01,2.01,2,0
Borussia Dortmund,FC Arsenal,2.01,1.94,0,1
FC Basel,Schalke 04,1.52,2.04,0,1
FC Basel,Steaua Bukarest,1.52,1.55,1,1
FC Basel,Chelsea FC,1.52,1.68,1,0
Napoli,Borussia Dortmund,1.73,2.01,2,1
Napoli,Olympique Marselha,1.73,1.59,3,2
Napoli,FC Arsenal,1.73,1.94,2,0
Bayer 04 Leverkusen,FC Paris Saint-Germain,1.6,1.96,0,4
Bayer 04 Leverkusen,Shakhtar Donetsk,1.6,2.08,4,0
Bayer 04 Leverkusen,Real Sociedad,1.6,1.61,2,1
Bayer 04 Leverkusen,Manchester United FC,1.6,2.09,0,5
RSC Anderlecht,Sport Lisboa e Benfica,1.74,1.92,2,3
RSC Anderlecht,Olympiacos Pireu,1.74,1.53,0,3
RSC Anderlecht,FC Paris Saint-Germain,1.74,1.96,0,5
Manchester United FC,Olympiacos Pireu,2.09,1.53,3,0
Manchester United FC,Shakhtar Donetsk,2.09,2.08,1,0
Manchester United FC,Bayer 04 Leverkusen,2.09,1.6,4,2
Manchester United FC,FC Bayern Munique,2.09,1.93,1,1
Manchester United FC,Real Sociedad,2.09,1.61,1,0
FC Paris Saint-Germain,Chelsea FC,1.96,1.68,3,1
FC Paris Saint-Germain,RSC Anderlecht,1.96,1.74,1,1
FC Paris Saint-Germain,Sport Lisboa e Benfica,1.96,1.92,3,0
FC Paris Saint-Germain,Olympiacos Pireu,1.96,1.53,2,1
FC Paris Saint-Germain,Bayer 04 Leverkusen,1.96,1.6,2,1
FC Arsenal,Napoli,1.94,1.73,2,0
FC Arsenal,Borussia Dortmund,1.94,2.01,1,2
FC Arsenal,Olympique Marselha,1.94,1.59,2,0
Zenit São Petersburgo,Atlético de Madrid,1.91,1.91,1,1
Zenit São Petersburgo,Borussia Dortmund,1.91,2.01,2,4
Zenit São Petersburgo,Áustria Viena,1.91,1.37,0,0
Zenit São Petersburgo,Futebol Clube do Porto,1.91,2.02,1,1
Atlético de Madrid,Chelsea FC,1.91,1.68,0,0
Atlético de Madrid,Áustria Viena,1.91,1.37,4,0
Atlético de Madrid,Zenit São Petersburgo,1.91,1.91,3,1
Atlético de Madrid,FC Barcelona,1.91,2.14,1,0
Atlético de Madrid,AC Milan,1.91,1.54,4,1
Atlético de Madrid,Futebol Clube do Porto,1.91,2.02,2,0
Manchester City FC,CSKA Moscovo,2.35,1.7,5,2
Manchester City FC,FC Barcelona,2.35,2.14,0,2
Manchester City FC,FC Viktoria Plzen,2.35,1.49,4,2
Manchester City FC,FC Bayern Munique,2.35,1.93,1,3
Sport Lisboa e Benfica,FC Paris Saint-Germain,1.92,1.96,2,1
Sport Lisboa e Benfica,RSC Anderlecht,1.92,1.74,2,0
Sport Lisboa e Benfica,Olympiacos Pireu,1.92,1.53,1,1
AC Milan,Celtic FC,1.54,1.77,2,0
AC Milan,AFC Ajax,1.54,1.48,0,0
AC Milan,Atlético de Madrid,1.54,1.91,0,1
AC Milan,FC Barcelona,1.54,2.14,1,1
FC Bayern Munique,Manchester City FC,1.93,2.35,2,3
FC Bayern Munique,CSKA Moscovo,1.93,1.7,3,0
FC Bayern Munique,FC Arsenal,1.93,1.94,1,1
FC Bayern Munique,Real Madrid CF,1.93,2.01,0,4
FC Bayern Munique,FC Viktoria Plzen,1.93,1.49,5,0
FC Bayern Munique,Manchester United FC,1.93,2.09,3,1
FC Copenhagen,Juventus FC,1.92,1.85,1,1
FC Copenhagen,Galatasaray,1.92,1.61,1,0
FC Copenhagen,Real Madrid CF,1.92,2.01,0,2
Schalke 04,FC Basel,2.04,1.52,2,0
Schalke 04,Real Madrid CF,2.04,2.01,1,6
Schalke 04,Chelsea FC,2.04,1.68,0,3
Schalke 04,Steaua Bukarest,2.04,1.55,3,0
AFC Ajax,Celtic FC,1.48,1.77,1,0
AFC Ajax,FC Barcelona,1.48,2.14,2,1
AFC Ajax,AC Milan,1.48,1.54,1,1
Áustria Viena,Zenit São Petersburgo,1.37,1.91,4,1
Áustria Viena,Atlético de Madrid,1.37,1.91,0,3
Áustria Viena,Futebol Clube do Porto,1.37,2.02,0,1
Celtic FC,FC Barcelona,1.77,2.14,0,1
Celtic FC,AFC Ajax,1.77,1.48,2,1
Celtic FC,AC Milan,1.77,1.54,0,3
Real Madrid CF,Schalke 04,2.01,2.04,3,1
Real Madrid CF,Juventus FC,2.01,1.85,2,1
Real Madrid CF,Atlético de Madrid,2.01,1.91,4,1
Real Madrid CF,Galatasaray,2.01,1.61,4,1
Real Madrid CF,Borussia Dortmund,2.01,2.01,3,0
Real Madrid CF,FC Bayern Munique,2.01,1.93,1,0
Real Madrid CF,FC Copenhagen,2.01,1.92,4,0
Olympiacos Pireu,Sport Lisboa e Benfica,1.53,1.92,1,0
Olympiacos Pireu,Manchester United FC,1.53,2.09,2,0
Olympiacos Pireu,FC Paris Saint-Germain,1.53,1.96,1,4
Olympiacos Pireu,RSC Anderlecht,1.53,1.74,3,1
Olympique Marselha,Napoli,1.59,1.73,1,2
Olympique Marselha,FC Arsenal,1.59,1.94,1,2
Olympique Marselha,Borussia Dortmund,1.59,2.01,1,2
Real Sociedad,Shakhtar Donetsk,1.61,2.08,0,2
Real Sociedad,Manchester United FC,1.61,2.09,0,0
Real Sociedad,Bayer 04 Leverkusen,1.61,1.6,0,1
FC Viktoria Plzen,FC Bayern Munique,1.49,1.93,0,1
FC Viktoria Plzen,Manchester City FC,1.49,2.35,0,3
FC Viktoria Plzen,CSKA Moscovo,1.49,1.7,2,1
CSKA Moscovo,FC Bayern Munique,1.7,1.93,1,3
CSKA Moscovo,FC Viktoria Plzen,1.7,1.49,3,2
CSKA Moscovo,Manchester City FC,1.7,2.35,1,2
Steaua Bukarest,Chelsea FC,1.55,1.68,0,4
Steaua Bukarest,FC Basel,1.55,1.52,1,1
Steaua Bukarest,Schalke 04,1.55,2.04,0,0
Chelsea FC,Galatasaray,1.68,1.61,2,0
Chelsea FC,Steaua Bukarest,1.68,1.55,1,0
Chelsea FC,FC Paris Saint-Germain,1.68,1.96,2,0
Chelsea FC,FC Basel,1.68,1.52,1,2
Chelsea FC,Atlético de Madrid,1.68,1.91,1,3
Chelsea FC,Schalke 04,1.68,2.04,3,0
Shakhtar Donetsk,Real Sociedad,2.08,1.61,4,0
Shakhtar Donetsk,Manchester United FC,2.08,2.09,1,1
Shakhtar Donetsk,Bayer 04 Leverkusen,2.08,1.6,0,0
Futebol Clube do Porto,Zenit São Petersburgo,2.02,1.91,0,1
Futebol Clube do Porto,Atlético de Madrid,2.02,1.91,1,2
Futebol Clube do Porto,Áustria Viena,2.02,1.37,1,1
Juventus FC,Real Madrid CF,1.85,2.01,2,2
Juventus FC,FC Copenhagen,1.85,1.92,3,1
Juventus FC,Galatasaray,1.85,1.61,2,2
Athletic Bilbao,Shakhtar Donetsk,,,0,0
Shakhtar Donetsk,Athletic Bilbao,,,0,1
Shakhtar Donetsk,Futebol Clube do Porto,,,2,2
Shakhtar Donetsk,FK BATE Borisov,,,5,0
Futebol Clube do Porto,Shakhtar Donetsk,,,1,1
Shakhtar Donetsk,FC Bayern Munique,,,0,0
FC Bayern Munique,Shakhtar Donetsk,,,7,0
FK BATE Borisov,Shakhtar Donetsk,,,0,7
FC Barcelona,FC Paris Saint-Germain,2.14,1.96,2,0
FC Barcelona,FC Paris Saint-Germain,2.14,1.96,3,1
FC Barcelona,FC Bayern Munique,2.14,1.93,3,0
FC Barcelona,APOEL Nicósia,2.14,1.61,1,0
FC Barcelona,Manchester City FC,2.14,2.35,1,0
FC Barcelona,AFC Ajax,2.14,1.48,3,1
Galatasaray,RSC Anderlecht,1.61,1.74,1,1
Galatasaray,FC Arsenal,1.61,1.94,1,4
Galatasaray,Borussia Dortmund,1.61,2.01,0,4
AS Mônaco,Bayer 04 Leverkusen,1.79,1.6,1,0
AS Mônaco,FC Arsenal,1.79,1.94,0,2
AS Mônaco,Zenit São Petersburgo,1.79,1.91,2,0
AS Mônaco,Sport Lisboa e Benfica,1.79,1.92,0,0
AS Mônaco,Juventus FC,1.79,1.85,0,0
Borussia Dortmund,Galatasaray,2.01,1.61,4,1
Borussia Dortmund,FC Arsenal,2.01,1.94,2,0
Borussia Dortmund,Juventus FC,2.01,1.85,0,3
Borussia Dortmund,RSC Anderlecht,2.01,1.74,1,1
FC Basel,Ludogorets Razgrad,1.52,1.88,4,0
