temporada,data,horario,fase,tipo_fase,estadio,arbitro,publico,publico_max,time_mandante,time_visitante,tecnico_mandante,tecnico_visitante,idade_tecnico_mandante,idade_tecnico_visitante,data_inicio_tecnico_mandante,data_inicio_tecnico_visitante,data_final_tecnico_mandante,data_final_tecnico_visitante,proporcao_sucesso_mandante,proporcao_sucesso_visitante,valor_equipe_titular_mandante,valor_equipe_titular_visitante,valor_medio_equipe_titular_mandante,valor_medio_equipe_titular_visitante,convocacao_selecao_principal_mandante,convocacao_selecao_principal_visitante,selecao_juniores_mandante,selecao_juniores_visitante,estrangeiros_mandante,estrangeiros_visitante,socios_mandante,socios_visitante,idade_media_titular_mandante,idade_media_titular_visitante,gols_mandante,gols_visitante,prorrogacao,penalti,gols_1_tempo_mandante,gols_1_tempo_visitante,escanteios_mandante,escanteios_visitante,faltas_mandante,faltas_visitante,chutes_bola_parada_mandante,chutes_bola_parada_visitante,defesas_mandante,defesas_visitante,impedimentos_mandante,impedimentos_visitante,chutes_mandante,chutes_visitante,chutes_fora_mandante,chutes_fora_visitante
"2018,2019",2019-04-30,16:00:00,Semi-Finais,Semi-Finais,Tottenham Hotspur Stadium,Mateu Lahoz,60243,62062,"Tottenham Hotspur ",AFC Ajax,Ange Postecoglou,Maurice Steijn,53,45,2023-07-01,2023-07-01,2027-06-30,2026-06-30,1.81,1.48,747600000,181650000,25780000,6730000,21,12,7,14,21,15,,,26,23.4,0,1,0,0,0,1,3,3,14,14,19,14,1,1,0,5,1,2,7,3
"2019,2020",2020-08-18,16:00:00,Semi-Finais,Semi-Finais,Estádio da Luz,Björn Kuipers,0,65000,RB Leipzig,FC Paris Saint-Germain,Marco Rose,Luis Enrique,43,50,2022-09-08,2023-07-05,2025-06-30,2025-06-30,2.04,1.96,403100000,1070000000,14930000,36790000,18,18,5,7,18,17,750,,25.4,25.6,0,3,0,0,0,2,5,4,24,13,12,23,6,3,0,3,14,14,5,4
"2019,2020",2020-08-19,16:00:00,Semi-Finais,Semi-Finais,Estádio José Alvalade XXI,Mateu Lahoz,0,59186,Olympique Lyon,FC Bayern Munique,Fabio Grosso,Thomas Tuchel,42,46,2023-09-18,2023-03-25,2024-06-30,2025-06-30,1.71,1.93,192650000,897700000,6880000,34530000,5,18,13,5,16,14,,300000,25.5,26.4,0,3,0,0,0,2,4,6,12,8,6,12,5,3,1,3,9,19,6,4
"2020,2021",2021-04-28,16:00:00,Semi-Finais,Semi-Finais,Parc des Princes,Dr. Felix Brych,0,49691,FC Paris Saint-Germain,Manchester City FC,Luis Enrique,Pep Guardiola,50,50,2023-07-05,2016-07-01,2025-06-30,2025-06-30,1.96,2.35,1070000000,1260000000,36790000,52700000,18,20,7,3,17,17,,,25.6,27.1,1,2,0,0,1,0,6,4,9,15,15,9,4,3,1,1,10,11,2,3
"2020,2021",2021-05-04,16:00:00,Semi-Finais,Semi-Finais,Etihad Stadium,Björn Kuipers,0,55017,Manchester City FC,FC Paris Saint-Germain,Pep Guardiola,Luis Enrique,50,50,2016-07-01,2023-07-05,2025-06-30,2025-06-30,2.35,1.96,1260000000,1070000000,52700000,36790000,20,18,3,7,17,17,,,27.1,25.6,2,0,0,0,1,0,6,6,15,12,11,12,0,3,1,1,12,14,3,5
"2020,2021",2021-04-27,16:00:00,Semi-Finais,Semi-Finais,Estadio Alfredo Di Stéfano,Danny Makkelie,0,9000,Real Madrid CF,Chelsea FC,Carlo Ancelotti,Mauricio Pochettino,61,49,2021-07-01,2023-07-01,2024-06-30,2025-06-30,2.01,1.68,1030000000,999000000,44610000,33300000,19,20,0,10,15,20,93176,30000,27.6,23.7,1,1,0,0,1,1,4,6,11,9,8,11,4,0,2,2,9,11,6,2
"2020,2021",2021-05-05,16:00:00,Semi-Finais,Semi-Finais,Stamford Bridge,Daniele Orsato,0,40853,Chelsea FC,Real Madrid CF,Mauricio Pochettino,Carlo Ancelotti,49,61,2023-07-01,2021-07-01,2025-06-30,2024-06-30,1.68,2.01,999000000,1030000000,33300000,44610000,20,19,10,0,20,15,30000,93176,23.7,27.6,2,0,0,0,1,0,1,3,18,12,12,17,5,3,2,2,15,7,8,0
"2021,2022",2022-05-03,16:00:00,Semi-Finais,Semi-Finais,La Cerámica,Danny Makkelie,21872,,FC Villarreal,FC Liverpool,Pacheta,Jürgen Klopp,54,54,2023-09-09,2015-10-08,2024-06-30,2026-06-30,1.55,1.87,186200000,877300000,7760000,33740000,7,17,4,7,8,21,15000,,29,26.1,2,3,0,0,2,0,1,2,18,14,13,16,2,0,5,4,5,15,2,6
"2021,2022",2022-04-27,16:00:00,Semi-Finais,Semi-Finais,Anfield,Szymon Marciniak,51586,54074,FC Liverpool,FC Villarreal,Jürgen Klopp,Pacheta,54,54,2015-10-08,2023-09-09,2026-06-30,2024-06-30,1.87,1.55,877300000,186200000,33740000,7760000,17,7,6,4,21,8,,15000,26.1,29,2,0,0,0,0,0,10,2,9,7,6,9,0,5,4,3,19,1,8,1
"2021,2022",2022-04-26,16:00:00,Semi-Finais,Semi-Finais,Etihad Stadium,Istvan Kovacs,52217,55017,Manchester City FC,Real Madrid CF,Pep Guardiola,Carlo Ancelotti,51,62,2016-07-01,2021-07-01,2025-06-30,2024-06-30,2.35,2.01,1260000000,1030000000,52700000,44610000,20,19,3,0,17,15,,93176,27.1,27.6,4,3,0,0,2,1,5,3,11,5,5,10,2,1,3,2,16,11,6,4
"2021,2022",2022-05-04,16:00:00,Semi-Finais,Semi-Finais,Santiago Bernabéu,Daniele Orsato,61416,81044,Real Madrid CF,Manchester City FC,Carlo Ancelotti,Pep Guardiola,62,51,2021-07-01,2016-07-01,2024-06-30,2025-06-30,2.01,2.35,1030000000,1260000000,44610000,52700000,19,20,0,3,15,17,93176,,27.6,27.1,3,1,1,0,,,3,9,14,18,16,14,8,2,3,3,14,15,5,4
"2022,2023",2023-05-17,16:00:00,Semi-Finais,Semi-Finais,Etihad Stadium,Szymon Marciniak,53000,55017,Manchester City FC,Real Madrid CF,Pep Guardiola,Carlo Ancelotti,52,63,2016-07-01,2021-07-01,2025-06-30,2024-06-30,2.35,2.01,1260000000,1030000000,52700000,44610000,20,19,3,0,17,15,,93176,27.1,27.6,4,0,0,0,2,0,7,3,16,14,13,16,3,4,0,0,16,7,6,2
"2022,2023",2023-05-10,16:00:00,Semi-Finais,Semi-Finais,Giuseppe Meazza,Jesús Gil Manzano,75532,,AC Milan,Inter de Milão,Stefano Pioli,Simone Inzaghi,57,47,2019-10-09,2021-06-03,2025-06-30,2025-06-30,1.54,1.92,543250000,563350000,19400000,22530000,15,19,5,2,21,16,,110280,26.3,28.8,0,2,0,0,0,2,2,3,14,16,15,13,3,2,2,2,13,16,9,6
"2022,2023",2023-05-16,16:00:00,Semi-Finais,Semi-Finais,Giuseppe Meazza,Clément Turpin,75567,,Inter de Milão,AC Milan,Simone Inzaghi,Stefano Pioli,47,57,2021-06-03,2019-10-09,2025-06-30,2025-06-30,1.92,1.54,563350000,543250000,22530000,19400000,19,15,2,5,16,21,110280,,28.8,26.3,1,0,0,0,0,0,5,3,15,22,21,15,1,3,1,0,15,5,6,3
"2022,2023",2023-05-09,16:00:00,Semi-Finais,Semi-Finais,Santiago Bernabéu,Artur Soares Dias,63485,81044,Real Madrid CF,Manchester City FC,Carlo Ancelotti,Pep Guardiola,63,52,2021-07-01,2016-07-01,2024-06-30,2025-06-30,2.01,2.35,1030000000,1260000000,44610000,52700000,19,20,0,3,15,17,93176,,27.6,27.1,1,1,0,0,1,0,8,7,11,11,11,10,5,3,0,2,13,10,2,1
